sql,estimate,actual,q-error
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<7 AND t.production_year>1976 AND ci.role_id<10 AND mi_idx.info_type_id>100;
",1785571,5586426,3.128649603
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<3473421 AND ci.role_id<2;
",11356834,12670688,1.115688404
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id>1 AND t.production_year>2007 AND ci.person_id>1439322 AND ci.role_id>1;
",3347715,7025688,2.098651767
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=2374788;
",489,7,69.85714286
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id<2 AND t.production_year=1961 AND mk.keyword_id<382;
",575,1345,2.339130435
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id>1289176;
",23488511,23196348,1.012595215
"SELECT * FROM cast_info ci WHERE ci.person_id>552347 AND ci.role_id=1;
",10550113,8545506,1.234580258
"SELECT * FROM cast_info ci WHERE ci.person_id=3397776 AND ci.role_id>1;
",320,38,8.421052632
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<3 AND mi.info_type_id>8 AND mi_idx.info_type_id>99;
",687908,5308962,7.717546532
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year<2012 AND mk.keyword_id>2488;
",36196727,134393762,3.712870559
"SELECT * FROM cast_info ci WHERE ci.person_id<1668242;
",16671851,16876853,1.012296295
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=7 AND t.production_year=2006 AND mk.keyword_id>335;
",103308,29482,3.504104199
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.production_year<2005 AND ci.person_id>3132323 AND ci.role_id>10;
",11866,166786,14.05578965
"SELECT * FROM movie_companies mc WHERE mc.company_id<11226 AND mc.company_type_id<2;
",626012,863103,1.378732357
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mi_idx.info_type_id>99 AND mk.keyword_id=21711;
",91,2548,28
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year<2010 AND ci.person_id>1932981 AND mk.keyword_id>41087;
",849939,7180209,8.447910968
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id<7 AND t.production_year<1913 AND mk.keyword_id>335;
",25992,9377,2.771888664
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id>1 AND mc.company_id>13734 AND ci.person_id>482605;
",10180298,8314177,1.224450478
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.production_year<2009 AND ci.person_id>59946 AND ci.role_id>3;
",8654119,8059730,1.073748004
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id>23117 AND mc.company_type_id=2;
",800470,5156773,6.442181468
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_id=137 AND ci.person_id<1585088 AND ci.role_id<2;
",6542,23577,3.603943748
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year<1998 AND mi.info_type_id=110;
",20163,552418,27.39760948
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id>2 AND t.production_year>1976 AND ci.role_id>10 AND mi.info_type_id=13;
",10706,28274,2.640949001
"SELECT * FROM movie_companies mc WHERE mc.company_id=11241 AND mc.company_type_id>1;
",53,363,6.849056604
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id>2 AND ci.person_id<3500747 AND ci.role_id=1;
",14275146,14850038,1.040272233
"SELECT * FROM cast_info ci WHERE ci.person_id>3459713 AND ci.role_id>3;
",1151544,3270867,2.840418603
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.production_year>2007 AND mc.company_id<73314 AND mc.company_type_id=2 AND ci.person_id<653027 AND ci.role_id=3;
",96023,93650,1.025339028
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND ci.person_id>2871241 AND ci.role_id>2 AND mi_idx.info_type_id<101;
",1345449,6383804,4.744738745
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=138770 AND ci.role_id>1;
",320,1,320
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<37206;
",4048123,4042699,1.001341678
"SELECT * FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id<4 AND t.production_year=2005;
",18312,32274,1.762450852
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year=2008 AND mk.keyword_id>419;
",1131746,9716746,8.585624336
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND t.production_year=2011 AND mi_idx.info_type_id<101;
",60988,52912,1.152630783
"SELECT * FROM movie_companies mc WHERE mc.company_id<14490 AND mc.company_type_id=2;
",789522,492940,1.601659431
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year=2004 AND mi.info_type_id<4;
",228590,609744,2.667413273
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<26789;
",3830344,3819517,1.002834652
"SELECT * FROM cast_info ci WHERE ci.person_id<1420285;
",14113247,14420089,1.021741418
"SELECT * FROM cast_info ci WHERE ci.person_id<1626482 AND ci.role_id>10;
",120712,64958,1.858308445
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id>1 AND t.production_year=2000 AND mi.info_type_id=107;
",4194,540,7.766666667
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id>1 AND mc.company_id=2281 AND mc.company_type_id=2;
",39,1266,32.46153846
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id>4 AND ci.person_id=2060345 AND ci.role_id=2;
",61,44,1.386363636
"SELECT * FROM movie_companies mc WHERE mc.company_id>20938 AND mc.company_type_id<2;
",439644,124695,3.525754842
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<7 AND t.production_year<2012 AND mi_idx.info_type_id>99;
",330556,2044854,6.186104624
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id=2 AND t.production_year<2007;
",340983,2638849,7.73894593
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year=2003 AND ci.person_id<825789 AND mk.keyword_id=47;
",271,1056,3.896678967
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id>6257;
",1085140,4616943,4.254698011
"SELECT * FROM cast_info ci WHERE ci.person_id<100116 AND ci.role_id=2;
",191170,166,1151.626506
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year>0 AND mc.company_id>82573 AND mi_idx.info_type_id=100;
",69392,181521,2.615877911
"SELECT * FROM cast_info ci WHERE ci.person_id<1455638 AND ci.role_id<3;
",7958969,10643834,1.337338291
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id>1 AND t.production_year=2012 AND mi.info_type_id>2;
",624394,251911,2.478629357
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id>2294780 AND ci.role_id>1;
",9161303,13746153,1.500458286
"SELECT * FROM movie_companies mc WHERE mc.company_id=105578 AND mc.company_type_id>1;
",53,2,26.5
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year<2000 AND ci.person_id>3024029 AND ci.role_id>1 AND mk.keyword_id>16406;
",721670,3726917,5.164295315
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id>1593;
",3266905,3272745,1.001787625
"SELECT * FROM movie_companies mc WHERE mc.company_id=384;
",104,187,1.798076923
"SELECT * FROM cast_info ci WHERE ci.person_id>2520479 AND ci.role_id=2;
",2438314,1378859,1.7683563
"SELECT * FROM movie_companies mc WHERE mc.company_id<29121 AND mc.company_type_id<2;
",878723,1197515,1.362790094
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year<2010 AND mk.keyword_id<3354;
",21263082,79644466,3.745668949
"SELECT * FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id>1 AND t.production_year=1996 AND mi_idx.info_type_id>100;
",4675,5479,1.17197861
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND mc.company_id>27 AND mc.company_type_id=1;
",7025974,46329281,6.594001202
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id=81741;
",249,2,124.5
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND t.production_year>2013 AND ci.person_id>1505238;
",7948,62186,7.824106694
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.production_year>1984 AND mi_idx.info_type_id<100;
",4830172,10519795,2.177933829
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND mi.info_type_id=110 AND mi_idx.info_type_id=99;
",3369,7,481.2857143
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id=2632798;
",2886,2506,1.151636073
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.production_year<2006 AND mi.info_type_id<8;
",4200224,5070118,1.207106573
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year<2004 AND mi_idx.info_type_id<100 AND mk.keyword_id=5037;
",23,375,16.30434783
"SELECT * FROM title t WHERE t.kind_id<3 AND t.production_year=1979;
",5113,5133,1.003911598
"SELECT * FROM cast_info ci WHERE ci.person_id>2494665 AND ci.role_id=3;
",1329804,2396567,1.802195662
"SELECT * FROM cast_info ci WHERE ci.person_id>992124 AND ci.role_id<9;
",22128788,20981887,1.05466148
"SELECT * FROM cast_info ci WHERE ci.person_id=370611;
",489,141,3.468085106
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.production_year=1995 AND mi.info_type_id=5;
",8084,9531,1.178995547
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<7 AND t.production_year=2010 AND mi.info_type_id=16 AND mi_idx.info_type_id<101;
",23975,79176,3.302440042
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id=7 AND t.production_year=1953 AND ci.role_id<2;
",21357,19046,1.121337814
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id<6158 AND mc.company_type_id=2;
",539007,322949,1.669015851
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<7 AND t.production_year<2004;
",1610735,11265853,6.994231205
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year<1976 AND ci.person_id<622321 AND ci.role_id=7;
",2964,384,7.71875
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id<90934;
",2432757,10246670,4.211957873
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.production_year>1977 AND ci.role_id<2;
",9786633,10011427,1.022969493
"SELECT * FROM movie_companies mc WHERE mc.company_id>29511;
",801461,808000,1.00815885
"SELECT * FROM cast_info ci WHERE ci.person_id<2205136 AND ci.role_id<2;
",7413026,12670688,1.7092464
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year<1991 AND mi.info_type_id>16 AND mk.keyword_id<87135;
",435247,27429387,63.02027814
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND mc.company_id>11137 AND mc.company_type_id<2 AND mi.info_type_id<8;
",1947506,5367917,2.75630319
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id=3 AND t.production_year<2011 AND ci.person_id>1014810;
",880757,3402996,3.863717234
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id>1 AND t.production_year=2008 AND mc.company_type_id>1;
",26204,36756,1.402686613
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND mc.company_id=11373 AND mi.info_type_id<7;
",7627,22152,2.904418513
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND mi.info_type_id=2 AND mi_idx.info_type_id=99;
",247105,402292,1.628020477
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id<4 AND ci.person_id=1304688;
",167,4,41.75
"SELECT * FROM title t WHERE t.kind_id=1 AND t.production_year=1974;
",3944,4169,1.057048682
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id=31066;
",249,115,2.165217391
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.kind_id=1 AND mi.info_type_id<5;
",18984566,50644483,2.667666093
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year>2012 AND ci.person_id<2890470 AND ci.role_id>2 AND mi_idx.info_type_id<100;
",37222,30771,1.209645445
"SELECT * FROM title t WHERE t.kind_id=1 AND t.production_year>1956;
",597111,476184,1.253950154
"SELECT * FROM cast_info ci WHERE ci.person_id<3560809;
",33544356,33664126,1.003570496
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id=7364;
",249,62,4.016129032
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id=3576;
",136,5651,41.55147059
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id<3 AND t.production_year=1961;
",3231,7116,2.202414113
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<7 AND t.production_year<2002 AND mi.info_type_id>4;
",1763204,4049306,2.29656126
"SELECT * FROM movie_companies mc WHERE mc.company_id>530 AND mc.company_type_id>1;
",1063902,1193785,1.122081733
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND mc.company_id<8850 AND mc.company_type_id<2 AND mk.keyword_id<22501;
",497113,721572,1.451525106
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND t.production_year<2012 AND mi_idx.info_type_id>99;
",386223,4948090,12.81148456
"SELECT * FROM movie_companies mc WHERE mc.company_id>125135;
",165313,166878,1.00946689
"SELECT * FROM cast_info ci WHERE ci.person_id<2372939 AND ci.role_id=1;
",7919314,12670688,1.599972927
"SELECT * FROM movie_companies mc WHERE mc.company_id<5379 AND mc.company_type_id<2;
",497999,709905,1.425514911
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year<2003;
",4987924,138166212,27.70014379
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.production_year<2006 AND mi_idx.info_type_id>99;
",833374,6715099,8.057725583
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND ci.person_id>192089 AND ci.role_id>2 AND mk.keyword_id>16264;
",2603676,20981310,8.05834136
"SELECT * FROM cast_info ci WHERE ci.person_id<2968239 AND ci.role_id>10;
",217415,98520,2.2068108
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year=2007 AND mk.keyword_id<3507;
",95400,82399,1.157781041
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id<3392812 AND ci.role_id>2;
",26133261,63529435,2.430980007
"SELECT * FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id>1 AND t.production_year=1945;
",766,18,42.55555556
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id>6380;
",1968637,1981036,1.006298266
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id>2 AND t.production_year>0;
",13428833,20771733,1.546801051
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id=7 AND t.production_year=2009 AND mc.company_id>6 AND mc.company_type_id=1;
",36647,16123,2.272964089
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id=160 AND mc.company_type_id=1 AND mk.keyword_id=47;
",51,191,3.745098039
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=1 AND t.production_year=1987 AND ci.person_id<3637864 AND ci.role_id=8;
",3463,4716,1.361825007
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id>2303157;
",82124067,176044442,2.143640085
"SELECT * FROM cast_info ci WHERE ci.person_id<1832532 AND ci.role_id<2;
",6295056,12670688,2.012799886
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id>61702 AND mk.keyword_id<835;
",214828,741143,3.449936694
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_id=437;
",1490,16776,11.2590604
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id=4 AND t.production_year=2009;
",5740,22803,3.972648084
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND mi.info_type_id=7 AND mk.keyword_id>1809;
",998902,344179,2.902274688
"SELECT * FROM movie_companies mc WHERE mc.company_id<71001 AND mc.company_type_id=1;
",994552,1274246,1.28122612
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.production_year>1992 AND mc.company_id=1465 AND mc.company_type_id=2 AND mi_idx.info_type_id<101;
",3,36,12
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id=4 AND t.production_year=1988;
",5819,6600,1.134215501
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.production_year=1897 AND mc.company_type_id<2;
",1718,390,4.405128205
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id=480 AND mc.company_type_id<2;
",50,1682,33.64
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_id>11475;
",692718,1852043,2.673588675
"SELECT * FROM movie_companies mc WHERE mc.company_id<6008;
",1043921,1041462,1.002361104
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id>4 AND t.production_year>2013 AND mc.company_id<14218 AND mc.company_type_id<2;
",2095,18,116.3888889
"SELECT * FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year>2008 AND mi_idx.info_type_id=99;
",71510,32289,2.214686116
"SELECT * FROM cast_info ci WHERE ci.person_id>2290738 AND ci.role_id=2;
",2876393,3184187,1.107006935
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year>2010 AND mk.keyword_id<11187;
",472903,192085,2.461946534
"SELECT * FROM cast_info ci WHERE ci.person_id>1526118;
",21033089,20767328,1.012797072
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id=45825;
",249,144,1.729166667
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.production_year=2011 AND mc.company_id=2017 AND ci.person_id<2065499 AND ci.role_id=5;
",1,157,157
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<59192;
",4267786,4261487,1.001478123
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.production_year=1937 AND ci.person_id>3184262 AND ci.role_id<7 AND mi_idx.info_type_id=99;
",535,1437,2.685981308
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id>652 AND mc.company_type_id<2;
",986542,853608,1.155731905
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.production_year<2000 AND mc.company_id=461 AND mc.company_type_id<2;
",118,129503,1097.483051
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<7 AND t.production_year>2013 AND mi.info_type_id>6;
",2861,29870,10.44040545
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id>1 AND t.production_year>2007 AND mk.keyword_id>3530;
",8134679,8162330,1.003399151
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id>752547;
",51088750,167151752,3.271791774
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id>1 AND t.production_year<1989;
",505284,377014,1.340226092
"SELECT * FROM movie_companies mc WHERE mc.company_id<21441 AND mc.company_type_id=2;
",880282,555659,1.58421262
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND t.production_year<2010 AND mi_idx.info_type_id<100 AND mk.keyword_id>5161;
",180394,153226,1.177306723
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year>1984 AND mk.keyword_id<3546;
",1489014,1361162,1.09392857
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=1 AND t.production_year=2006 AND mk.keyword_id=5673;
",3,21,7
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id=1 AND t.production_year<1995 AND mi.info_type_id<9;
",741532,2796598,3.771378713
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year>1999 AND ci.person_id<1760213 AND ci.role_id<3;
",9828179,36961456,3.760763413
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id>481950;
",184761609,395263595,2.139316696
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.production_year>1975 AND ci.role_id<4;
",112149442,219676642,1.958784975
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id>1739 AND mc.company_type_id<2;
",883342,706849,1.249689821
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id=1 AND t.production_year>2004 AND mc.company_type_id>1 AND mi.info_type_id>43;
",73061,852327,11.66596406
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id<7 AND mc.company_type_id>1 AND ci.person_id>1936738;
",3566996,9910492,2.778386071
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id=7 AND t.production_year<1999 AND mi.info_type_id=16;
",703841,510268,1.379355554
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id>1 AND t.production_year=1980 AND mi.info_type_id<16;
",20402,35514,1.740711695
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_id=10583 AND mi_idx.info_type_id=101;
",19,888,46.73684211
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id=1 AND t.production_year=1980 AND mc.company_id<170192 AND mc.company_type_id<2;
",1726,4777,2.767670915
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id=8151;
",249,18,13.83333333
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<1838944 AND ci.role_id=6;
",385500,297338,1.296504315
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id<2 AND t.production_year=2012 AND mk.keyword_id<47106;
",76563,552987,7.222640179
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id<3 AND t.production_year>1981 AND mk.keyword_id>782;
",851133,1550870,1.822124157
"SELECT * FROM movie_companies mc WHERE mc.company_id=85125;
",104,561,5.394230769
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year>1993 AND mk.keyword_id>72739;
",108808,85688,1.269816077
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year=2010 AND mi.info_type_id<16 AND mk.keyword_id<5537;
",200180,1695505,8.469902088
"SELECT * FROM cast_info ci WHERE ci.person_id>1945483;
",16987547,16806250,1.010787475
